instance,mip,time,val
270_101_4_3,3Idx,52.00,0.00
290_108_4_8,BinP,3.76,0.00
290_108_4_8,3Idx,77.43,0.00
340_127_4_1,BinP,28.40,0.00
340_127_4_1,3Idx,151.00,0.00
240_90_4_6,BinP,1.00,0.00
240_90_4_6,3Idx,34.05,0.00
340_127_4_9,BinP,8.84,0.00
340_127_4_9,3Idx,128.03,0.00
210_78_4_8,BinP,1.24,0.00
210_78_4_8,3Idx,17.31,0.00
290_108_4_7,BinP,2.38,0.00
290_108_4_7,3Idx,71.65,0.00
190_71_4_0,BinP,1.12,1.00
190_71_4_0,3Idx,15.54,1.00
180_67_4_7,BinP,0.64,0.00
180_67_4_7,3Idx,10.39,0.00
240_90_4_9,BinP,1.31,0.00
240_90_4_9,3Idx,31.40,0.00
260_97_4_1,BinP,2.30,0.00
260_97_4_1,3Idx,37.74,0.00
310_116_4_7,BinP,3.52,0.00
310_116_4_7,3Idx,104.61,0.00
200_75_4_1,BinP,2.40,0.00
200_75_4_1,3Idx,15.75,0.00
230_86_4_6,BinP,1.50,1.00
230_86_4_6,3Idx,28.34,1.00
170_63_4_9,BinP,0.57,1.00
170_63_4_9,3Idx,5.49,1.00
170_63_4_7,BinP,0.63,0.00
170_63_4_7,3Idx,6.92,0.00
240_90_4_0,BinP,0.88,0.00
240_90_4_0,3Idx,30.60,0.00
160_60_4_8,BinP,1.17,0.00
160_60_4_8,3Idx,7.06,0.00
280_105_4_1,BinP,3.01,0.00
280_105_4_1,3Idx,59.50,0.00
310_116_4_1,BinP,2.21,0.00
310_116_4_1,3Idx,81.11,0.00
150_56_4_1,BinP,1.85,1.00
150_56_4_1,3Idx,4.94,1.00
150_56_4_9,BinP,0.89,2.00
150_56_4_9,3Idx,5.87,2.00
250_93_4_4,BinP,11.00,0.00
250_93_4_4,3Idx,31.07,0.00
180_67_4_0,BinP,2.00,0.00
180_67_4_0,3Idx,10.41,0.00
330_123_4_8,BinP,13.52,0.00
330_123_4_8,3Idx,116.65,0.00
250_93_4_8,BinP,1.83,0.00
250_93_4_8,3Idx,41.75,0.00
260_97_4_6,BinP,2.43,0.00
260_97_4_6,3Idx,41.33,0.00
190_71_4_8,BinP,0.51,0.00
190_71_4_8,3Idx,14.28,0.00
210_78_4_5,BinP,0.45,0.00
210_78_4_5,3Idx,20.15,0.00
190_71_4_1,BinP,0.88,0.00
190_71_4_1,3Idx,13.25,0.00
210_78_4_0,BinP,0.69,0.00
210_78_4_0,3Idx,17.12,0.00
230_86_4_4,BinP,0.87,0.00
230_86_4_4,3Idx,29.66,0.00
200_75_4_6,BinP,1.89,0.00
200_75_4_6,3Idx,22.52,0.00
340_127_4_7,BinP,10.96,0.00
340_127_4_7,3Idx,165.28,0.00
210_78_4_9,BinP,0.22,0.00
210_78_4_9,3Idx,19.52,0.00
160_60_4_5,BinP,0.40,0.00
160_60_4_5,3Idx,6.85,0.00
240_90_4_4,BinP,1.29,0.00
240_90_4_4,3Idx,32.82,0.00
280_105_4_3,BinP,1.95,0.00
280_105_4_3,3Idx,57.06,0.00
150_56_4_6,BinP,7.92,0.00
150_56_4_6,3Idx,182.94,0.00
260_97_4_9,BinP,0.25,0.00
260_97_4_9,3Idx,43.89,0.00
250_93_4_6,BinP,1.30,0.00
250_93_4_6,3Idx,40.26,0.00
320_120_4_7,BinP,7.26,0.00
320_120_4_7,3Idx,95.72,0.00
260_97_4_2,BinP,2.50,0.00
260_97_4_2,3Idx,47.72,0.00
240_90_4_8,BinP,1.16,0.00
240_90_4_8,3Idx,33.22,0.00
260_97_4_3,BinP,3.45,0.00
260_97_4_3,3Idx,46.47,0.00
320_120_4_6,BinP,6.88,0.00
320_120_4_6,3Idx,96.83,0.00
320_120_4_0,BinP,4.49,0.00
320_120_4_0,3Idx,106.37,0.00
330_123_4_6,BinP,7.76,0.00
330_123_4_6,3Idx,105.06,0.00
310_116_4_5,BinP,4.43,0.00
310_116_4_5,3Idx,99.08,0.00
320_120_4_5,BinP,6.30,0.00
320_120_4_5,3Idx,99.20,0.00
300_112_4_7,BinP,7.34,0.00
300_112_4_7,3Idx,85.03,0.00
200_75_4_7,BinP,0.86,0.00
200_75_4_7,3Idx,19.07,0.00
250_93_4_5,BinP,3.69,0.00
250_93_4_5,3Idx,41.02,0.00
180_67_4_4,BinP,3.56,0.00
180_67_4_4,3Idx,13.00,0.00
290_108_4_5,BinP,2.55,0.00
290_108_4_5,3Idx,64.80,0.00
250_93_4_9,BinP,2.84,0.00
250_93_4_9,3Idx,37.90,0.00
190_71_4_7,BinP,1.40,0.00
190_71_4_7,3Idx,10.86,0.00
330_123_4_2,BinP,9.69,0.00
330_123_4_2,3Idx,86.61,0.00
320_120_4_1,BinP,7.69,0.00
320_120_4_1,3Idx,125.46,0.00
230_86_4_8,BinP,2.21,0.00
230_86_4_8,3Idx,23.25,0.00
240_90_4_3,BinP,1.07,0.00
240_90_4_3,3Idx,31.80,0.00
150_56_4_5,BinP,0.61,1.00
150_56_4_5,3Idx,5.19,1.00
310_116_4_9,BinP,28.57,0.00
310_116_4_9,3Idx,80.92,0.00
340_127_4_4,BinP,19.73,0.00
340_127_4_4,3Idx,157.51,0.00
300_112_4_9,BinP,8.18,0.00
300_112_4_9,3Idx,83.46,0.00
230_86_4_1,BinP,1.28,0.00
230_86_4_1,3Idx,27.57,0.00
170_63_4_4,BinP,0.53,0.00
170_63_4_4,3Idx,7.97,0.00
280_105_4_9,BinP,2.32,0.00
280_105_4_9,3Idx,47.33,0.00
190_71_4_2,BinP,0.50,0.00
190_71_4_2,3Idx,16.37,0.00
340_127_4_3,BinP,18.67,0.00
340_127_4_3,3Idx,131.68,0.00
250_93_4_1,BinP,1.77,0.00
250_93_4_1,3Idx,32.30,0.00
