lower bound for relaxed s_ij: 129766.36

#####################################################

solved with: SP.mip_formulations.BinPackingFormulation
time limit: 900 s
time to solve: 903,69 s (time limit exceeded)
objective value: 221201.86 (not optimal)

stacks (top to bottom):
stack 134:    468 469 
stack 135:    431 432 
stack 136:    182 181 
stack 137:    221 220 
stack 138:    474 471 
stack 139:    184 186 
stack 140:    249 248 
stack 141:    437 438 
stack 142:    477 476 
stack 143:    170 168 
stack 144:    161 158 
stack 145:    482 485 
stack 146:    442 443 
stack 147:    491 489 
stack 148:    160 159 
stack 149:    237 236 
stack 150:    250 
stack 151:    251 0 
stack 152:    252 
stack 153:    2 4 
stack 154:    253 
stack 155:    255 
stack 156:    256 5 
stack 157:    257 
stack 158:    
stack 159:    8 259 
stack 160:    10 
stack 161:    261 
stack 162:    
stack 163:    13 
stack 164:    264 
stack 165:    265 15 
stack 166:    266 
stack 167:    16 17 
stack 168:    18 268 
stack 169:    
stack 170:    20 21 
stack 171:    
stack 172:    22 
stack 173:    273 23 
stack 174:    274 
stack 175:    275 
stack 176:    26 
stack 177:    27 277 
stack 178:    278 
stack 179:    279 29 
stack 180:    30 
stack 181:    282 
stack 182:    
stack 183:    33 283 
stack 184:    284 34 
stack 185:    285 
stack 186:    36 
stack 187:    287 
stack 188:    38 
stack 189:    39 40 
stack 190:    
stack 191:    42 41 
stack 192:    292 
stack 193:    43 
stack 194:    294 
stack 195:    45 44 
stack 196:    46 296 
stack 197:    297 47 
stack 198:    48 298 
stack 199:    302 49 
stack 200:    50 51 
stack 201:    304 303 
stack 202:    52 53 
stack 203:    305 306 
stack 204:    55 54 
stack 205:    308 307 
stack 206:    61 60 
stack 207:    311 313 
stack 208:    310 309 
stack 209:    88 90 
stack 210:    98 99 
stack 211:    349 350 
stack 212:    66 67 
stack 213:    362 363 
stack 214:    80 81 
stack 215:    68 72 
stack 216:    334 332 
stack 217:    82 83 
stack 218:    76 74 
stack 219:    323 325 
stack 220:    114 115 
stack 221:    79 77 
stack 222:    339 338 
stack 223:    110 111 
stack 224:    106 108 
stack 225:    336 337 
stack 226:    92 89 
stack 227:    91 94 
stack 228:    329 331 
stack 229:    117 116 
stack 230:    415 413 
stack 231:    346 348 
stack 232:    361 359 
stack 233:    420 421 
stack 234:    131 130 
stack 235:    100 101 
stack 236:    355 353 
