instance,solver,time,val
300_120_3_15,3CapPerm,8.55,1272.00
300_120_3_15,3CapRec,0.09,1382.00
300_120_3_48,BinP,58.66,0.00
300_120_3_48,3Idx,301.00,25.00
300_120_3_48,3CapPerm,8.17,1350.00
300_120_3_48,3CapRec,0.09,1457.00
300_120_3_59,BinP,92.43,0.00
300_120_3_59,3Idx,300.50,190.00
300_120_3_59,3CapRec,0.10,1300.00
300_120_3_61,BinP,65.59,0.00
300_120_3_61,3Idx,300.67,93.00
300_120_3_61,3CapPerm,7.88,1342.00
300_120_3_61,3CapRec,0.09,1377.00
300_120_3_58,BinP,300.49,38.00
300_120_3_58,3Idx,300.55,460.00
300_120_3_27,BinP,105.60,0.00
300_120_3_27,3Idx,300.83,1079.00
300_120_3_27,3CapRec,0.09,1271.00
300_120_3_38,BinP,57.14,0.00
300_120_3_38,3Idx,150.18,0.00
300_120_3_38,3CapPerm,0.98,1288.00
300_120_3_38,3CapRec,0.11,1312.00
300_120_3_50,BinP,95.09,0.00
300_120_3_50,3Idx,300.52,1088.00
300_120_3_50,3CapRec,0.08,1408.00
300_120_3_4,BinP,300.49,72.00
300_120_3_4,3Idx,300.25,640.00
300_120_3_87,BinP,300.69,2.00
300_120_3_87,3Idx,301.86,308.00
300_120_3_31,BinP,300.30,26.00
300_120_3_31,3Idx,300.95,111.00
300_120_3_97,BinP,62.78,0.00
300_120_3_97,3Idx,301.67,1038.00
300_120_3_97,3CapRec,0.09,1283.00
300_120_3_20,BinP,300.24,13.00
300_120_3_20,3Idx,300.98,263.00
300_120_3_20,3CapRec,0.10,1256.00
300_120_3_36,BinP,291.64,0.00
300_120_3_36,3Idx,301.07,189.00
300_120_3_36,3CapRec,0.08,1452.00
300_120_3_54,BinP,67.54,0.00
300_120_3_54,3Idx,134.95,0.00
300_120_3_54,3CapPerm,0.97,1386.00
300_120_3_54,3CapRec,0.09,1357.00
300_120_3_98,BinP,69.87,0.00
300_120_3_98,3Idx,300.90,65.00
300_120_3_98,3CapPerm,8.33,1252.00
300_120_3_98,3CapRec,0.08,1345.00
300_120_3_47,BinP,300.24,125.00
300_120_3_47,3Idx,300.86,422.00
300_120_3_19,BinP,130.95,0.00
300_120_3_19,3Idx,300.62,281.00
300_120_3_19,3CapPerm,8.05,1299.00
300_120_3_19,3CapRec,0.09,1372.00
300_120_3_90,BinP,68.72,0.00
300_120_3_90,3Idx,211.81,0.00
300_120_3_90,3CapPerm,0.98,1366.00
300_120_3_90,3CapRec,0.11,1357.00
300_120_3_30,BinP,300.38,96.00
300_120_3_30,3Idx,300.34,677.00
300_120_3_23,BinP,61.71,0.00
300_120_3_23,3Idx,300.92,41.00
300_120_3_23,3CapPerm,8.13,1322.00
300_120_3_23,3CapRec,0.11,1340.00
300_120_3_84,BinP,69.83,0.00
300_120_3_84,3Idx,301.46,30.00
300_120_3_84,3CapPerm,4.06,1385.00
300_120_3_84,3CapRec,0.09,1393.00
300_120_3_40,BinP,300.29,125.00
300_120_3_40,3Idx,300.69,1261.00
300_120_3_41,BinP,300.30,55.00
300_120_3_41,3Idx,300.48,744.00
300_120_3_41,3CapRec,0.08,1284.00
300_120_3_88,BinP,92.55,0.00
300_120_3_88,3Idx,301.25,188.00
300_120_3_88,3CapRec,0.09,1342.00
300_120_3_70,BinP,126.01,0.00
300_120_3_70,3Idx,300.48,268.00
300_120_3_70,3CapRec,0.09,1371.00
300_120_3_67,BinP,99.57,0.00
300_120_3_67,3Idx,301.40,114.00
300_120_3_67,3CapRec,0.08,1308.00
300_120_3_91,BinP,300.22,452.00
300_120_3_91,3Idx,300.42,1147.00
300_120_3_51,BinP,78.01,0.00
300_120_3_51,3Idx,100.67,0.00
300_120_3_51,3CapPerm,0.96,1335.00
300_120_3_51,3CapRec,0.09,1352.00
300_120_3_86,BinP,85.83,0.00
300_120_3_86,3Idx,301.50,22.00
300_120_3_86,3CapPerm,8.30,1292.00
300_120_3_86,3CapRec,0.11,1366.00
300_120_3_82,BinP,64.77,0.00
300_120_3_82,3Idx,251.90,0.00
300_120_3_82,3CapPerm,8.38,1354.00
300_120_3_82,3CapRec,0.09,1335.00
300_120_3_72,BinP,300.35,5.00
300_120_3_72,3Idx,300.45,450.00
300_120_3_52,BinP,238.63,0.00
300_120_3_52,3Idx,301.33,247.00
300_120_3_49,BinP,73.63,0.00
300_120_3_49,3Idx,165.45,0.00
300_120_3_49,3CapPerm,8.91,1353.00
300_120_3_49,3CapRec,0.09,1336.00
300_120_3_65,BinP,89.68,0.00
300_120_3_65,3Idx,161.85,0.00
300_120_3_99,BinP,89.23,0.00
300_120_3_99,3Idx,301.83,60.00
300_120_3_99,3CapPerm,8.96,1435.00
300_120_3_99,3CapRec,0.12,1342.00
300_120_3_25,BinP,300.09,77.00
300_120_3_25,3Idx,300.81,663.00
300_120_3_69,BinP,170.27,0.00
300_120_3_69,3Idx,300.27,1041.00
300_120_3_46,BinP,300.32,144.00
300_120_3_46,3Idx,300.50,1234.00
300_120_3_9,BinP,93.89,0.00
300_120_3_9,3Idx,300.57,97.00
300_120_3_9,3CapPerm,1.02,1383.00
300_120_3_9,3CapRec,0.09,1362.00
300_120_3_68,BinP,229.78,0.00
300_120_3_68,3Idx,300.86,118.00
300_120_3_68,3CapPerm,9.25,1309.00
300_120_3_22,BinP,300.42,209.00
300_120_3_22,3Idx,300.34,537.00
300_120_3_79,BinP,73.97,0.00
300_120_3_79,3Idx,300.31,201.00
300_120_3_79,3CapPerm,1.01,1446.00
300_120_3_79,3CapRec,0.08,1310.00
300_120_3_76,BinP,49.30,0.00
300_120_3_76,3Idx,151.15,0.00
300_120_3_76,3CapPerm,1.07,1285.00
300_120_3_76,3CapRec,0.10,1333.00
