instance,mip,time,val
160_60_4_7,3Idx,6.47,1.00
160_60_4_4,BinP,0.31,0.00
160_60_4_4,3Idx,7.84,0.00
80_30_4_4,BinP,0.09,8.00
80_30_4_4,3Idx,0.96,8.00
40_15_4_9,BinP,0.17,37.00
40_15_4_9,3Idx,2.58,37.00
160_60_4_9,BinP,0.35,0.00
160_60_4_9,3Idx,8.04,0.00
150_57_4_1,BinP,0.32,1.00
150_57_4_1,3Idx,5.72,1.00
20_8_4_2,BinP,0.01,32.00
20_8_4_2,3Idx,0.08,32.00
110_42_4_6,BinP,0.10,1.00
110_42_4_6,3Idx,2.32,1.00
30_12_4_4,BinP,0.02,21.00
30_12_4_4,3Idx,0.12,21.00
60_23_4_4,BinP,0.07,8.00
60_23_4_4,3Idx,0.22,8.00
170_64_4_8,BinP,0.39,0.00
170_64_4_8,3Idx,9.11,0.00
50_19_4_4,BinP,0.02,8.00
50_19_4_4,3Idx,0.17,8.00
20_8_4_3,BinP,0.00,12.00
20_8_4_3,3Idx,0.02,12.00
10_4_4_9,BinP,0.00,15.00
10_4_4_9,3Idx,0.01,15.00
170_64_4_0,BinP,0.49,0.00
170_64_4_0,3Idx,9.51,0.00
130_49_4_4,BinP,0.06,1.00
130_49_4_4,3Idx,2.56,1.00
90_34_4_9,BinP,0.04,4.00
90_34_4_9,3Idx,0.76,4.00
10_4_4_6,BinP,0.00,11.00
10_4_4_6,3Idx,0.01,11.00
150_57_4_5,BinP,0.13,0.00
150_57_4_5,3Idx,6.43,0.00
120_45_4_6,BinP,0.09,0.00
120_45_4_6,3Idx,3.34,0.00
120_45_4_7,BinP,0.11,1.00
120_45_4_7,3Idx,3.49,1.00
200_75_4_1,BinP,1.01,0.00
200_75_4_1,3Idx,17.83,0.00
110_42_4_2,BinP,0.16,1.00
110_42_4_2,3Idx,2.59,1.00
130_49_4_0,BinP,0.05,2.00
130_49_4_0,3Idx,3.79,2.00
120_45_4_2,BinP,0.04,1.00
120_45_4_2,3Idx,2.56,1.00
70_27_4_6,BinP,0.03,4.00
70_27_4_6,3Idx,0.55,4.00
90_34_4_6,BinP,0.08,3.00
90_34_4_6,3Idx,1.27,3.00
70_27_4_4,BinP,0.02,3.00
70_27_4_4,3Idx,0.44,3.00
160_60_4_8,BinP,0.10,1.00
160_60_4_8,3Idx,7.48,1.00
150_57_4_0,BinP,0.27,1.00
150_57_4_0,3Idx,5.22,1.00
170_64_4_6,BinP,0.37,0.00
170_64_4_6,3Idx,8.00,0.00
20_8_4_0,BinP,0.00,15.00
20_8_4_0,3Idx,0.02,15.00
80_30_4_0,BinP,0.04,3.00
80_30_4_0,3Idx,1.02,3.00
100_38_4_8,BinP,0.07,0.00
100_38_4_8,3Idx,1.57,0.00
60_23_4_7,BinP,0.03,4.00
60_23_4_7,3Idx,0.27,4.00
180_68_4_0,BinP,0.66,0.00
180_68_4_0,3Idx,11.10,0.00
110_42_4_7,BinP,0.10,1.00
110_42_4_7,3Idx,2.35,1.00
140_53_4_2,BinP,0.05,0.00
140_53_4_2,3Idx,4.86,0.00
60_23_4_2,BinP,0.03,7.00
60_23_4_2,3Idx,0.53,7.00
20_8_4_1,BinP,0.00,15.00
